Instance Size,vCPU,Memory,Storage,Network ,Bandwith,EBS Bandwidth,1 Year Price, 1 Year PPM ,3 Year Price, 3 Year PPM ,GPUs,CPU Credits Earned / Hr,Network Burst Bandwidth (Gbps)***,Accelerator Peer-to-Peer Bidirectional(Gbps),1080p60 Streams,4Kp60 Streams,GPU Peer to Peer,GPUDirect RDMA,EBS Burst Bandwidth (Mbps),Baseline Performance / vCPU,Logical Processors*,Trainium Accelerators,Inferentia2 Accelerators,Inferentia Accelerators,Qualcomm AI 100 Accelerators,FPGAs,Physical Cores,Cores,Accelerator Memory (GB),U30 Accelerators,Gaudi Accelerators,Accelerator Memory (GB),CPU Credits/hour,NVIDIA T4G Tensor Core GPU,GPU Memory (GiB),Inter-accelerator Interconnect,EFA Network Bandwidth (Gbps),Aggregate Disk Throughput (MiB/s)
Is4gen.medium,1,6,1 x 937 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.large,2,16,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Im4gn.large,2,8,1 x 937 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.large,2,12,1 x 1875 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.xlarge,4,32,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.xlarge,4,8,,,Up to 10,Up to 3.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
Im4gn.xlarge,4,16,1 x 1875 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.xlarge,4,24,1 x 3750 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.xlarge,4,16,2 x 14 HDD,,Up to 25,850,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
mac2.metal,8,16,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mac2-m2.metal,8,24,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.2xlarge,8,64,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.2xlarge,8,256,EBS-Only,,Up to 25,3.17,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.2xlarge,8,16,,,Up to 10,Up to 3.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
trn1.2xl,8,32,1 x 500 NVMe SSD,,Up to 12.5,Up to 20,NA, NA ,NA, NA ,,,,,,,,,,,,1,,,,,,,,,,32,,,,,,
f1.2xlarge,8,122,1 x 470,Up to 10,,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Im4gn.2xlarge,8,32,1 x 3750 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.2xlarge,8,48,1 x 7500 AWS Nitro SSD,,Up to 25,Up to 9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.2xlarge,8,32,4 x 14 HDD,,Up to 25,"1,700",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000"
mac1.metal,12,32,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mac2-m2pro.metal,12,32,EBS-Only,,10,8,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vt1.3xlarge,12,24,,,3.13,Up to 4.75,NA, NA ,NA, NA ,,,,,8,2,,,,,,,,,,,,,,1,,,,,,,,
r7iz.4xlarge,16,128,EBS-Only,,Up to 12.5,Up to 10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.4xlarge,16,512,EBS-Only,,Up to 25,4.75,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.4xlarge,16,32,,,Up to 10,Up to 3.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
f1.4xlarge,16,244,1 x 940,Up to 10,,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Im4gn.4xlarge,16,64,1 x 7500 AWS Nitro SSD,,25,9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.4xlarge,16,96,2 x 7500 AWS Nitro SSD,,25,9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.4xlarge,16,64,8 x 14 HDD,,25,"2,800",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000"
x2iezn.6xlarge,24,768,EBS-Only,,50,9.5,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vt1.6xlarge,24,48,,,6.25,4.75,NA, NA ,NA, NA ,,,,,16,4,,,,,,,,,,,,,,2,,,,,,,,
d3en.6xlarge,24,96,12 x 14 HDD,,40,"4,000",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,100"
r7iz.8xlarge,32,256,EBS-Only,,12.5,10,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.8xlarge,32,"1,024",EBS-Only,,75,12,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.8xlarge,32,64,,,12,9,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,
Im4gn.8xlarge,32,128,2 x 7500 AWS Nitro SSD,,50,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is4gen.8xlarge,32,192,4 x 7500 AWS Nitro SSD,,50,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.8xlarge,32,128,16 x 14 HDD,,50,"5,000",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,100"
r7iz.12xlarge,48,384,EBS-Only,,25,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.12xlarge,48,"1,536",EBS-Only,,100,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iezn.metal,48,"1,536",EBS-Only,,100,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3en.12xlarge,48,192,24 x 14 HDD,,75,"7,000",NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,200"
r7iz.16xlarge,64,512,EBS-Only,,25,20,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.metal-16xl,64,512,EBS-Only,,25,20,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5g.16xlarge,64,128,,,25,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,2,32,,,
g5g.metal,64,128,,,25,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,2,32,,,
f1.16xlarge,64,976,4 x 940,25,,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
Im4gn.16xlarge,64,256,4 x 7500 AWS Nitro SSD,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p4de.24xlarge(In preview),96,1152,8 x 1000 NVMe SSD,,400 ENA and EFA,19,NA, NA ,NA, NA ,8,,,,,,600 GB/s NVSwitch,Yes,,,,,,,,,,,,,,,,,640 GB HBM2e,,,
p3dn.24xlarge,96,768,2 x 900 NVMe SSD,100,NVLink,19,NA, NA ,NA, NA ,8,,,,,,,,,,,,,,,,,,,,,,,,256,,,
dl1.24xlarge,96,768,4 x 1000 NVMe SSD,,400,19,NA, NA ,NA, NA ,,,,100,,,,,,,,,,,,,,,,,8,,,,,,,
dl2q.24xlarge,96,768,EBS Only,,100,19,NA, NA ,NA, NA ,,,,,,,,,,,,,,,8,,,,128,,,,,,,No,,
vt1.24xlarge,96,192,,,25,19,NA, NA ,NA, NA ,,,,,64,16,,,,,,,,,,,,,,8,,,,,,,,
r7iz.32xlarge,128,"1,024",EBS-Only,,50,40,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7iz.metal-32xl,128,"1,024",EBS-Only,,50,40,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trn1.32xl,128,512,4 x 2000 NVMe SSD,,800,80,NA, NA ,NA, NA ,,,,,,,,,,,,16,,,,,,,,,,512,,,,,,
trn1n32.xl,128,512,4 x 2000 NVMe SSD,,1600,80,NA, NA ,NA, NA ,,,,,,,,,,,,16,,,,,,,,,,512,,,,,,
u-6tb1.metal**,,"6,144",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-9tb1.112xlarge,,"9,216",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-9tb1.metal**,,"9,216",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-12tb1.metal**,,"12,288",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-18tb1.112xlarge,,"18,432",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-18tb1.metal,,"18,432",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-24tb1.112xlarge,,"24,576",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-24tb1.metal,,"24,576",EBS-Only,,100,38,NA, NA ,NA, NA ,,,,,,,,,,,448,,,,,,,,,,,,,,,,,
hpc7g.4xlarge,,128,EBS-Only,,25,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,16,,,,,,,,,,200,
hpc7g.8xlarge,,128,EBS-Only,,25,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,32,,,,,,,,,,200,
hpc7g.16xlarge,,128,EBS-Only,,25,,NA, NA ,NA, NA ,,,,,,,,,,,,,,,,,64,,,,,,,,,,200,
p5.48xlarge,192,2000,8 x 3.84 NVMe SSD,,3200 Gbps EFAv2,80,72.2652," $ 52,030.94 ",48.95052," $ 35,244.37 ",8,,,,,,900 GB/s NVSwitch,Yes,,,,,,,,,,,,,,,,,640 GB HBM3,,,
u-12tb1.112xlarge,,"12,288",EBS-Only,,100,38,75.33926," $ 54,244.27 ",38.20471," $ 27,507.39 ",,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-6tb1.112xlarge,,"6,144",EBS-Only,,100,38,37.66963," $ 27,122.13 ",19.10236," $ 13,753.70 ",,,,,,,,,,,448,,,,,,,,,,,,,,,,,
u-6tb1.56xlarge,,"6,144",EBS-Only,,100,38,32.01498," $ 23,050.79 ",16.23487," $ 11,689.11 ",,,,,,,,,,,224,,,,,,,,,,,,,,,,,
p4d.24xlarge,96,1152,8 x 1000 NVMe SSD,,400 ENA and EFA,19,22.5965581," $ 16,269.52 ",13.6099801," $ 9,799.19 ",8,,,,,,600 GB/s NVSwitch,Yes,,,,,,,,,,,,,,,,,320 GB HBM2,,,
p3.16xlarge,64,488,EBS-Only,25,NVLink,14,17.945," $ 12,920.40 ",13.027," $ 9,379.44 ",8,,,,,,,,,,,,,,,,,,,,,,,,128,,,
u-3tb1.56xlarge,,"3,072",EBS-Only,,50,19,18.83482," $ 13,561.07 ",9.55118," $ 6,876.85 ",,,,,,,,,,,224,,,,,,,,,,,,,,,,,
x2iedn.32xlarge,128,"4,096",2 x 1900 NVMe SSD,,100,80,18.40431," $ 13,251.10 ",9.33287," $ 6,719.67 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iedn.metal,128,"4,096",2 x 1900 NVMe SSD,,100,80,18.40431," $ 13,251.10 ",9.33287," $ 6,719.67 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x1e.32xlarge,128,"3,904","2 x 1,920",25,"14,000",,17.652," $ 12,709.44 ",8.952," $ 6,445.44 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5.48xlarge,192,768,2x 3800 NVME SSD,,100,19,11.97168," $ 8,619.61 ",7.98112," $ 5,746.41 ",8,,,,,,,,,,,,,,,,,,,,,,,,192,,,
p2.16xlarge,64,732,,25,,,10.549," $ 7,595.28 ",7.664," $ 5,518.08 ",16,,,,,,,,,,,,,,,,,,,,,,,,192,,,
x2iedn.24xlarge,96,"3,072",2 x 1425 NVMe SSD,,75,60,13.80323," $ 9,938.33 ",6.99965," $ 5,039.75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.48xlarge,192,"1,536",EBS-Only,,50,40,9.87685," $ 7,111.33 ",6.91379," $ 4,977.93 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.metal-48xl,192,"1,536",EBS-Only,,50,40,9.87685," $ 7,111.33 ",6.91379," $ 4,977.93 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3.8xlarge,32,244,EBS-Only,10,NVLink,7,8.972," $ 6,459.84 ",6.513," $ 4,689.36 ",4,,,,,,,,,,,,,,,,,,,,,,,,64,,,
inf2.48xlarge,192,768,EBS Only,,100,60,9.54123," $ 6,869.69 ",6.36082," $ 4,579.79 ",,,,,,,,,,,,,12,,,,,,,,,384,,,,Yes,,
r7i.48xlarge,192,"1,536",EBS-Only,,50,40,8.58828," $ 6,183.56 ",6.0118," $ 4,328.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7i.metal-48xl,192,"1,536",EBS-Only,,50,40,8.58828," $ 6,183.56 ",6.0118," $ 4,328.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4i.metal,128,"1,024",8 x 3750 AWS Nitro SSD,,75,40,7.982," $ 5,747.04 ",5.532," $ 3,983.04 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4i.32xlarge,128,"1,024",8 x 3750 AWS Nitro SSD,,75,40,7.98174," $ 5,746.85 ",5.5319," $ 3,982.97 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6idn.32xlarge,128,"1,024",4x1900 NVMe SSD,,200****,100,8.45585," $ 6,088.21 ",5.30513," $ 3,819.69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6idn.metal,128,"1,024",4x1900 NVMe SSD,,200****,100,8.45585," $ 6,088.21 ",5.30513," $ 3,819.69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.48xlarge,192,1536,EBS-Only,,50,40,7.36138," $ 5,300.19 ",5.15297," $ 3,710.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.metal,192,1536,EBS-Only,,50,40,7.36138," $ 5,300.19 ",5.15297," $ 3,710.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.48xlarge,192,768,EBS-Only,,50,40,7.63076," $ 5,494.15 ",5.12112," $ 3,687.21 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.metal-48xl,192,768,EBS-Only,,50,40,7.63076," $ 5,494.15 ",5.12112," $ 3,687.21 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3en.24xlarge,96,768,8 x 7500 NVMe SSD,,100,7.99,7.985," $ 5,749.20 ",4.934," $ 3,552.48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3en.metal,96,768,8 x 7500 NVMe SSD,,100,7.99,7.985," $ 5,749.20 ",4.934," $ 3,552.48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6in.32xlarge,128,"1,024",EBS-Only,,200****,100,7.54444," $ 5,432.00 ",4.72348," $ 3,400.91 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6in.metal,128,"1,024",EBS-Only,,200****,100,7.54444," $ 5,432.00 ",4.72348," $ 3,400.91 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iedn.16xlarge,64,"2,048",1 x 1900 NVMe SSD,,50,40,9.20215," $ 6,625.55 ",4.66643," $ 3,359.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2idn.32xlarge,128,"2,048",2 x 1900 NVMe SSD,,100,80,9.20215," $ 6,625.55 ",4.66643," $ 3,359.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2idn.metal,128,"2,048",2 x 1900 NVMe SSD,,100,80,9.20215," $ 6,625.55 ",4.66643," $ 3,359.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.32xlarge,128,"1,024",EBS-Only,,50,40,6.58457," $ 4,740.89 ",4.6092," $ 3,318.62 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6id.32xlarge,128,"1,024",4x1900 NVMe SSD,,50,40,6.55267," $ 4,717.92 ",4.51113," $ 3,248.01 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6id.metal,128,"1,024",4x1900 NVMe SSD,,50,40,6.55267," $ 4,717.92 ",4.51113," $ 3,248.01 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x1e.16xlarge,64,"1,952","1 x 1,920",10,"7,000",,8.826," $ 6,354.72 ",4.476," $ 3,222.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x1.32xlarge,128,"1,952","2 x 1,920",25,"14,000",,8.822," $ 6,351.84 ",4.474," $ 3,221.28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.48xlarge,192,768,EBS-Only,,50,40,6.63544," $ 4,777.52 ",4.45315," $ 3,206.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.metal-48xl,192,768,EBS-Only,,50,40,6.63544," $ 4,777.52 ",4.45315," $ 3,206.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.48xlarge,192,384,EBS-Only,,50,40,6.6459," $ 4,785.05 ",4.31698," $ 3,108.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.metal-48xl,192,384,EBS-Only,,50,40,6.6459," $ 4,785.05 ",4.31698," $ 3,108.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpc7a.12xlarge,,768,EBS-Only,,25,,6.3504," $ 4,572.29 ",4.2336," $ 3,048.19 ",,,,,,,,,,,,,,,,,24,,,,,,,,,,300,
hpc7a.24xlarge,,768,EBS-Only,,25,,6.3504," $ 4,572.29 ",4.2336," $ 3,048.19 ",,,,,,,,,,,,,,,,,48,,,,,,,,,,300,
hpc7a.48xlarge,,768,EBS-Only,,25,,6.3504," $ 4,572.29 ",4.2336," $ 3,048.19 ",,,,,,,,,,,,,,,,,96,,,,,,,,,,300,
hpc7a.96xlarge,,768,EBS-Only,,25,,6.3504," $ 4,572.29 ",4.2336," $ 3,048.19 ",,,,,,,,,,,,,,,,,192,,,,,,,,,,300,
i4i.24xlarge,96,768,6 x 3750 AWS Nitro SSD,,56.25,30,5.98631," $ 4,310.14 ",4.14893," $ 2,987.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6idn.32xlarge,128,512,4x1900 NVMe SSD,,200****,100,6.94608," $ 5,001.18 ",4.13072," $ 2,974.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6idn.metal,128,512,4x1900 NVMe SSD,,200****,100,6.94608," $ 5,001.18 ",4.13072," $ 2,974.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5.24xlarge,96,384,1 x 3800 NVMe SSD,,50,19,5.98584," $ 4,309.80 ",3.99056," $ 2,873.20 ",4,,,,,,,,,,,,,,,,,,,,,,,,96,,,
r6idn.24xlarge,96,768,4x1425 NVMe SSD,,150,75,6.34189," $ 4,566.16 ",3.97885," $ 2,864.77 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
p2.8xlarge,32,488,,10,,,5.274," $ 3,797.28 ",3.832," $ 2,759.04 ",8,,,,,,,,,,,,,,,,,,,,,,,,96,,,
r6i.32xlarge,128,"1,024",EBS-Only,,50,40,5.45288," $ 3,926.07 ",3.81701," $ 2,748.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6i.metal,128,"1,024",EBS-Only,,50,40,5.45288," $ 3,926.07 ",3.81701," $ 2,748.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.48xlarge,192,768,EBS-Only,,50,40,5.68754," $ 4,095.03 ",3.81701," $ 2,748.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.metal,192,768,EBS-Only,,50,40,5.68754," $ 4,095.03 ",3.81701," $ 2,748.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7i.48xlarge,192,384,EBS-Only,,50,40,5.7789," $ 4,160.81 ",3.7538," $ 2,702.74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7i.metal-48xl,192,384,EBS-Only,,50,40,5.7789," $ 4,160.81 ",3.7538," $ 2,702.74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g4dn.metal,96,384,2 x 900 NVMe SSD,100,,19,5.291," $ 3,809.52 ",3.68," $ 2,649.60 ",8,,,,,,,,,,,,,,,,,,,,,,,,128,,,
m6in.32xlarge,128,512,EBS-Only,,200****,100,6.06822," $ 4,369.12 ",3.58033," $ 2,577.84 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6in.metal,128,512,EBS-Only,,200****,100,6.06822," $ 4,369.12 ",3.58033," $ 2,577.84 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6in.24xlarge,96,768,EBS-Only,,150,75,5.65833," $ 4,074.00 ",3.54261," $ 2,550.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2idn.24xlarge,96,"1,536",2 x 1425 NVMe SSD,,75,60,6.90161," $ 4,969.16 ",3.49982," $ 2,519.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6id.32xlarge,128,512,4x1900 NVMe SSD,,50,40,5.19011," $ 3,736.88 ",3.46798," $ 2,496.95 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6id.metal,128,512,4x1900 NVMe SSD,,50,40,5.19011," $ 3,736.88 ",3.46798," $ 2,496.95 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.24xlarge,96,768,EBS-Only,,37.5,30,4.93842," $ 3,555.66 ",3.4569," $ 2,488.97 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.32xlarge,128,1024,EBS-Only,,50,40,4.90759," $ 3,533.46 ",3.43531," $ 2,473.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.32xlarge,128,512,EBS-Only,,50,40,5.08717," $ 3,662.76 ",3.41408," $ 2,458.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5dn.24xlarge,96,768,4 x 900 NVMe SSD,100,,"19,000",5.42," $ 3,902.40 ",3.402," $ 2,449.44 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5dn.metal,96*,768,4 x 900 NVMe SSD,100,,"19,000",5.42042," $ 3,902.70 ",3.40151," $ 2,449.09 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6id.24xlarge,96,768,4x1425 NVMe SSD,,37.5,30,4.9145," $ 3,538.44 ",3.38335," $ 2,436.01 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5d.24xlarge,96,768,4 x 900 NVMe SSD,25,,"19,000",4.682," $ 3,371.04 ",3.23," $ 2,325.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5d.metal,96*,768,4 x 900 NVMe SSD,25,,"19,000",4.682," $ 3,371.04 ",3.23," $ 2,325.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a.48xlarge,192,384,EBS-Only,,50,40,4.95331," $ 3,566.38 ",3.21754," $ 2,316.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a.metal,192,384,EBS-Only,,50,40,4.95331," $ 3,566.38 ",3.21754," $ 2,316.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
inf2.24xlarge,96,384,EBS Only,,50,30,4.77062," $ 3,434.85 ",3.18041," $ 2,289.90 ",,,,,,,,,,,,,6,,,,,,,,,192,,,,Yes,,
m6idn.24xlarge,96,384,4x1425 NVMe SSD,,150,75,5.20956," $ 3,750.88 ",3.09804," $ 2,230.59 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpc6id.32xlarge,,1024,4 x 3800 (NVMe SSD),,25,,4.29005," $ 3,088.84 ",3.07789," $ 2,216.08 ",,,,,,,,,,,,,,,,,,64,,,,,,,,,200,
r5n.24xlarge,96,768,EBS-Only,100,,"19,000",4.836," $ 3,481.92 ",3.028," $ 2,180.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5n.metal,96*,768,EBS-Only,100,,"19,000",4.836," $ 3,481.92 ",3.028," $ 2,180.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5b.24xlarge,96,768,EBS-Only,25,,"60,000",4.8361824," $ 3,482.05 ",3.0278707," $ 2,180.07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5b.metal,96*,768,EBS-Only,25,,"60,000",4.8361824," $ 3,482.05 ",3.0278707," $ 2,180.07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7i.24xlarge,96,768,EBS-Only,,37.5,30,4.29414," $ 3,091.78 ",3.0059," $ 2,164.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7i.metal-24xl,96,768,EBS-Only,,37.5,30,4.29414," $ 3,091.78 ",3.0059," $ 2,164.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5ad.24xlarge,96,768,4 x 900 NVMe SSD,20,,"13,570",4.27," $ 3,074.40 ",2.939," $ 2,116.08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.32xlarge,128,256,EBS-Only,,50,40,4.4306," $ 3,190.03 ",2.87798," $ 2,072.15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5.24xlarge,96,768,EBS-Only,25,,"19,000",4.09," $ 2,944.80 ",2.863," $ 2,061.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5.metal,96*,768,EBS-Only,25,,"19,000",4.09," $ 2,944.80 ",2.863," $ 2,061.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6i.24xlarge,96,768,EBS-Only,,37.5,30,4.08966," $ 2,944.56 ",2.86276," $ 2,061.19 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6id.32xlarge,128,256,4x1900 NVMe SSD,,50,40,4.3465," $ 3,129.48 ",2.83181," $ 2,038.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6id.metal,128,256,4x1900 NVMe SSD,,50,40,4.3465," $ 3,129.48 ",2.83181," $ 2,038.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
